unique_registros_ID,genus,species,subspecies,if_hybrid,sex,locality_code,lat_dec,lon_dec,revised_accuracy,elev_min_etiq,elev_max_etiq,elev_unidad,day,month,year,Date_if_string,colector,coleccion,image_link
4218,Heliconius,telesiphe,telesiphe,,macho,Coroico BOL LP,-16.16666667,-67.73333333,2,1200,1200,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4219,Heliconius,telesiphe,telesiphe,,hembra,Bolivia  COUNTRY,-17.07568889,-64.47478056,999,,,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
5777,Heliconius,sapho,candidus,,macho,Santo Domingo ECD PI,-0.25,-79.15,,900,900,m,,1,1969,,Lafebre R. de la,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/sapho%20candidus%20big.jpg
5778,Heliconius,sapho,candidus,,macho,Toachi Rio ECD PI,-0.383333333,-78.93333333,,900,900,m,,1,1969,,Lafebre R. de la,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/sapho%20candidus%20big.jpg
5779,Heliconius,sapho,candidus,,macho,Santo Domingo ECD PI,-0.25,-79.15,,900,900,m,,1,1969,,Lafebre R. de la,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/sapho%20candidus%20big.jpg
5780,Heliconius,sapho,candidus,,macho,Toachi Rio ECD PI,-0.383333333,-78.93333333,,1000,1000,m,,1,1969,,Lafebre R. de la,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/sapho%20candidus%20big.jpg
5781,Heliconius,sapho,candidus,,macho,Santo Domingo ECD PI,-0.25,-79.15,,900,900,m,,5,1969,,Lafebre R. de la,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/sapho%20candidus%20big.jpg
9687,Heliconius,telesiphe,telesiphe,,macho,Chanchamayo PER JU,-11.06666667,-75.31666667,2,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9688,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9689,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9690,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9691,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9692,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9693,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9694,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9695,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9696,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9697,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9698,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
